id,name,origin_country
2,ABC,US
2739,Disney+,US
174,AMC,US
213,Netflix,
19,FOX,US
49,HBO,US
71,The CW,US
21,The WB,US
1436,YouTube Premium,US
4,BBC One,GB
6,NBC,US
400,Antena 3,ES
80,Adult Swim,US
1,Fuji TV,JP
88,FX,US
33,MTV,US
47,Comedy Central,US
3186,HBO Max,US
16,CBS,US
98,TV Tokyo,JP
56,Cartoon Network,US
75,ABC Family,US
1267,Freeform,US
1709,CBS All Access,US
23,CBC Television,CA
1024,Amazon,US
318,Starz,US
332,BBC Two,GB
13,Nickelodeon,US
68,TBS,US
173,AT-X,JP
67,Showtime,US
1083,Niconico,JP
57,NTV,JP
2243,DC Universe,US
40,UPN,US
44,Disney XD,US
54,Disney Channel,US
129,A&E,US
30,USA Network,US
77,Syfy,US
453,Hulu,US
12,HTB,JP
94,MBS,JP
614,Tokyo MX,JP
861,BS11,JP
1896,FBS,JP
2334,NHK,JP
26,Channel 4,GB
184,Syndication,
279,ABC Me,AU
1376,TVNZ 1,NZ
