id,name,hashtag
71712,The Good Doctor,#TheGoodDoctor
82856,The Mandalorian,#TheMandalorian
62286,Fear the Walking Dead,#FearTWD
87739,The Queen's Gambit,#TheQueensGambit
94305,The Walking Dead: World Beyond,#TWDWorldBeyond
1416,Grey's Anatomy,#GreysAnatomy
456,The Simpsons,#TheSimpsons
1399,Game of Thrones,#GameofThrones
75006,The Umbrella Academy,#UmbrellaAcademy
69050,Riverdale,#Riverdale
1622,Supernatural,#Supernatural
77169,Cobra Kai,#CobraKai
68507,His Dark Materials,#HisDarkMaterials
2734,Law & Order: Special Victims Unit,#SVU
60735,The Flash,#TheFlash
4604,Smallville,#Smallville
2004,Malcolm in the Middle,#MalcolmInTheMiddle 
71446,La Casa de Papel,#LaCasadePapel
1396,Breaking Bad,#BreakingBad
73671,Suburra: Blood on Rome,#SuburraBloodOnRome
60625,Rick and Morty,#RickandMorty
70523,Dark Netflix,#DarkNetflix 
66732,Stranger Things,#StrangerThings 
12971,Dragon Ball Z,#DragonBallZ
1413,American Horror Story,#AmericanHorrorStory 
34524,Teen Wolf,#TeenWolf
2190,South Park,#SouthPark 
85723,Raised by Wolves,#RaisedByWolves 
1434,Family Guy,#FamilyGuy
4614,NCIS,#NCIS
1418,The Big Bang Theory,#BigBangTheory
5920,The Mentalist,#TheMentalist
4057,Criminal Minds,#CriminalMinds
58841,Chicago P.D.,#ChicagoPD
109958,The Haunting of Bly Manor,#TheHauntingOfBlyManor
60708,Gotham,#Gotham
46896,The Originals,#TheOriginals
32798,Hawaii Five-0,#H50
17610,NCIS: Los Angeles,#NCISLA
46260,Naruto,#Naruto
2691,Two and a Half Men,#TwoAndAHalfMen
4686,Ben 10,#Ben10
1408,Dr House,#DrHouse
76773,Station 19,#Station19
82596,Emily in Paris,#EmilyInParis
85552,Euphoria,#Euphoria
67136,This Is Us,#ThisIsUs
62715,Dragon Ball Super,#DragonBallSuper
31917,Pretty Little Liars,#PrettyLittleLiars
79242,Chilling Adventures of Sabrina,#CAOS
1412,Arrow CW,#Arrow
62710,Blindspot NBC,#Blindspot
1403,Marvel's Agents of S.H.I.E.L.D.,#AgentsofSHIELD
67198,Star Trek: Discovery,#StarTrekDiscovery
88713,We Are Who We Are,#WeAreWhoWeAre
46952,The Blacklist,#TheBlacklist
90766,Teenage Bounty Hunters,#TeenageBountyHunters
89641,Love Alarm,#LoveAlarm
4087,The X-Files,#TheXFiles
62688,Supergirl,#Supergirl
70785,Anne with an E,#AnneWithAnE
57243,Doctor Who,#DoctorWho
15260,Adventure Time,#AdventureTime
1100,How I Met Your Mother,#HIMYM
78903,Utopia Amazon,#UtopiaTV
62046,Scream Queens,#ScreamQueens
46296,Spartacus,#Spartacus
60574,Peaky Blinders,#PeakyBlinders
63401,We Bare Bears,#WeBareBears
66788,13 Reasons Why,#13ReasonsWhy
2038,Drake & Josh,#DrakeAndJosh
46331,Under the Dome,#UnderTheDome
2288,Prison Break,#PrisonBreak
1421,Modern Family,#ModernFamily
615,Futurama,#Futurama
1433,American Dad,#AmericanDad
71728,Young Sheldon,#YoungSheldon
82816,Lovecraft Country,#LovecraftCountry
63247,Westworld,#Westworld
81354,Ratched,#Ratched
62643,Legends of Tomorrow,#LegendsOfTomorrow
31109,Ben 10: Ultimate Alien,#Ben10UltimateAlien
62650,Chicago Med,#ChicagoMed
67133,MacGyver,#MacGyver
70215,The White Princess,#TheWhitePrincess
45950,High School DxD,#HighSchoolDxD
31132,Regular Show,#RegularShow
693,Desperate Housewives,#DesperateHousewives
83851,The Undoing,#TheUndoing
1405,Dexter,#Dexter
7225,Merlin,#Merlin
87108,Chernobyl HBO,#ChernobylHBO
48891,Brooklyn Nine-Nine,#Brooklyn99
84503,Close Enough,#CloseEnoughMAX
63926,One-Punch Man,#OnePunchMan
1620,CSI: Miami,#CSIMiami
1420,New Girl,#NewGirl
39272,Once Upon a Time,#OnceUponATime
56570,Outlander,#Outlander
98034,Digimon Adventure:,#DigimonAdventure
13916,Death Note,#DeathNote
3452,Frasier,#Frasier
94280,Steven Universe Future,#StevenUniverseFuture
79501,Doom Patrol,#DoomPatrol
61222,BoJack Horseman,#BoJackHorseman
95,Buffy the Vampire Slayer,#BuffyTheVampireSlayer
86428,The Spanish Princess,#TheSpanishPrincess
61923,Star vs. the Forces of Evil,#StarVsTheForcesOfEvil
39340,2 Broke Girls,#2BrokeGirls
61387,NCIS: New Orleans,#NCISNOLA
46786,Bates Motel,#BatesMotel
1424,Orange Is the New Black,#OrangeIsTheNewBlack
62560,Mr. Robot,#MrRobot
2316,The Office TV,#TheOffice
1606,Ghost Whisperer,#GhostWhisperer
63333,The Last Kingdom,#TheLastKingdom
1395,Gossip Girl,#GossipGirl
61056,How to Get Away with Murder,#HTGAWM
61345,Z Nation,#ZNation
68267,Tales of Arcadia,#TalesOfArcadia
60059,Better Call Saul,#BetterCallSaul
71912,The Witcher,#TheWitcher
60743,Constantine,#Constantine
1409,Sons of Anarchy,#SonsOfAnarchy
95594,Fast & Furious Spy Racers,#FastAndFuriousSpyRacers
97186,Love Victor,#LoveVictor
104555,The Great Heist,#TheGreatHeist
74016,The Resident,#TheResident
1429,Attack on Titan,#AttackOnTitan
77606,The Boss Baby: Back in Business,The Boss Baby: Back in Business
42009,Black Mirror,#BlackMirror
4194,Star Wars: The Clone Wars,#TheCloneWars
580,Star Trek: Deep Space Nine,#StarTrekDS9
61889,Daredevil,#Daredevil
74204,Big Mouth,#BigMouth
1411,Person of Interest,#PersonOfInterest
60866,iZombie,#iZombie
4629,Stargate SG-1,#StargateSG1
1705,Fringe,#Fringe
33880,The Legend of Korra,#LegendOfKorra
14658,Survivor CBS,#SurvivorCBS
71789,SEAL Team,#SEALTeam
97890,Power Book II: Ghost,#PowerBookII
4229,Dexter's Laboratory,#DextersLab
60554,Star Wars Rebels,#StarWarsRebels
61418,Jane the Virgin,#JaneTheVirgin
80213,The Purge TV,#ThePurgeTV
2458,CSI: NY,#CSINY
80743,Insatiable,#Insatiable
87689,Warrior Nun,#WarriorNun
32726,Bob's Burgers,#BobsBurgers
71577,The New Legends of Monkey,#LegendsOfMonkey
32692,Blue Bloods,#BlueBloods
1425,House of Cards,#HouseOfCards
47640,The Strain,#TheStrain
1435,The Good Wife,#TheGoodWife
1920,Twin Peaks,#TwinPeaks
69478,The Handmaid's Tale,#HandmaidsTale
2673,The O.C.,#TheOC
5371,iCarly,#iCarly
